,Model,april_2019,april_2018_x,march_2019,march_2018_x,february_2019,february_2018_x,january_2019,january_2018_x,december_2018,december_2017,november_2018,november_2017,october_2018,october_2017,september_2018,september_2017,august_2018,august_2017,july_2018,july_2017,june_2018,june_2017,may_2018,may_2017,april_2018_y,april_2017,march_2018_y,march_2017,february_2018_y,february_2017,january_2018_y,january_2017,Jan. 2017 YTD,Jan. 2016 YTD_x,2016,2015_x,Nov. 2016 YTD,Nov. 2015 YTD,Oct. 2016 YTD,Oct. 2015 YTD,Sept. 2016 YTD,Sept. 2015 YTD,Aug. 2016 YTD,Aug. 2015 YTD,July 2016 YTD,July 2015 YTD,June 2016 YTD,June 2015 YTD,May 2016 YTD,May 2015 YTD,April 2016 YTD,April 2015 YTD,March 2016 YTD_x,March 2015 YTD_x,Feb. 2016 YTD,Feb. 2015 YTD_x,Jan. 2016 YTD_y,Jan. 2015 YTD_x,2015_y,2014,March 2016 YTD_y,March 2015 YTD_y,Feb. 2015 YTD_y,Feb. 2014 YTD,Jan. 2015 YTD_y,Jan. 2014 YTD,Dec. 2014 YTD,Dec. 2013 YTD,November 2014 YTD,November 2013 YTD_x,October 2014 YTD,October 2013 YTD_x,September 2014 YTD,September 2013 YTD,August 2014 YTD,August 2013 YTD_x,July 2014 YTD,July 2013 YTD_x,June 2014 YTD,June 2013 YTD_x,May 2014 YTD,May 2013 YTD_x,April 2014 YTD,April 2013 YTD_x,March 2014 YTD,March 2013 YTD_x,February 2014 YTD,February 2013 YTD,January 2014,January 2013_x,2013,2012,November 2013 YTD_y,November 2012 YTD_x,October 2013 YTD_y,October 2012 YTD_x,September 2013 YTD,% Change_x,August 2013 YTD_y,% Change_y,July 2013 YTD_y,% Change_x,June 2013 YTD_y,% Change_y,May 2013 YTD_y,% Change_x,April 2013 YTD_y,% Change_y,March 2013 YTD_y,% Change_x,2 Months Of 2013,2 Months % Change,January 2013_y,January 2012_x,November 2012 YTD_y,November 2011 YTD,October 2012 YTD_y,October 2011 YTD,September 2012 YTD,September 2011 YTD,August 2012 YTD,August 2011 YTD,July 2012 YTD,July 2011 YTD,June 2012 YTD,June 2011 YTD,May 2012,May 2011,April 2012 YTD,April 2011 YTD,March 2012 YTD,March 2011 YTD,February 2012 YTD,February 2011 YTD,January 2012_y,January 2011,December 2011,% Change_y,November 2011,% Change,October 2011,October 2010
0,Fiat 124 Spider,329,337,214,325,139,223,160,183,184,287,197,268,219,248,286,343,343,382,392,450,401,510,425,564,337,465,325,419,223,302,183,240,240,—,2475,—,2225,—,1875,—,1431,—,941,—,481,—,1,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BMW 2-Series,581,879,746,1179,738,949,578,640,718,1188,574,884,664,1045,630,938,589,1036,634,1331,930,1242,822,976,879,848,1179,993,949,598,640,658,658,710,15519,13020,14434,10877,13479,9730,12470,8472,11493,7394,10765,6370,9057,5342,6503,4275,5181,3156,3401,2147,1795,898,710,375,13020,7345,3401,2147,,,32,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Chrysler 200,3,95,8,189,6,219,12,251,6,332,11,359,26,499,31,705,39,941,36,1899,52,1945,88,2300,95,2857,189,2565,219,2194,251,1861,1861,4685,57294,167368,54651,157705,51802,147602,48959,138536,45886,128673,41676,116135,40981,106569,33164,88009,25564,68002,17973,49152,11797,29962,5200,14157,177889,117363,17973,49152,29962,22958,676,643,117363,122480,101134,116828,86817,111207,75142,102859,64147,93276,53337,83137,45178,75015,37833,62655,34693,49377,30489,36885,22958,20292,10912,8846,122480,125476,116828,116396,111207,109025,102859.0,+ 2.6%,93276.0,+ 3.2%,83137.0,+ 6.1%,75015.0,+ 8.6%,62655.0,+ 7.6%,49377.0,+ 9.8%,36885.0,+ 16.6%,20292.0,+ 21.3%,8846.0,7007,116396,80200,109025,72135,100267,60930,90386,52221,78389,41360,69102,34851,58231,27632,44981,20481,31638,12207,16724,4482,7007,788,,,,,11205.0,2221.0
3,Mazda 3,4351,4725,6009,7760,4610,6070,4596,5825,5277,5669,3974,4708,4093,4534,4635,6112,5597,6754,5266,7407,5433,6473,5983,6775,4725,5980,7760,7137,6070,6846,5825,6623,6623,7551,95567,107884,87465,98046,81077,90641,74131,82299,66781,74542,59484,64381,51381,54877,42982,45626,32855,35310,22133,27304,14826,16770,7551,7896,107885,104985,22133,27304,16770,13520,1688,2287,104985,104713,95266,97044,87505,89288,80259,81614,72400,72968,61529,61937,52148,52701,43324,45135,32642,36200,24056,29133,13520,18628,6234,8074,104713,123361,97044,113064,89288,103223,81614.0,– 12.9%,72968.0,– 8.4%,61937.0,– 9.7%,52701.0,– 11.5%,45135.0,– 11.0%,36200.0,– 14.3%,29133.0,– 13.6%,18628.0,– 9.0%,8074.0,9200,113064,93153,103223,86280,93705,79185,79674,70256,68554,60832,59527,51544,50692,42932,42218,34143,33710,25559,20475,13092,9200,5015,,,,,,
4,BMW 3-Series,3642,3550,4620,4845,2379,4255,1226,4551,3184,5556,3218,6181,3445,4497,3615,6045,3751,5379,3185,4084,3551,5123,3428,4453,3550,3494,4845,6197,4255,4408,4551,4032,4032,3287,70458,94540,63718,89278,58307,80845,53092,69833,45660,60688,39775,50525,32976,42796,26157,35905,18781,27086,14100,20220,7882,10747,,,,,14100,20220,,,512,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69409.0,+ 14.5%,59052.0,+ 8.5%,49162.0,+ 5.1%,38205.0,– 4.5%,28898.0,– 14.3%,20662.0,– 16.3%,11804.0,– 20.2%,4831.0,6698,88857,85882,78081,78314,68352,70566,60621,61277,54415,52502,46762,43862,40022,34707,33701,26590,24698,19138,14801,10635,6698,5763,,,,,,
5,Chrysler 300,1998,3913,3704,6223,2508,4449,2078,2320,3483,5726,4569,2951,3986,2917,4022,4207,3013,4073,2813,3090,4318,5355,3484,3907,3913,3948,6223,4969,4449,5386,2320,4708,4708,5665,53241,53025,49657,48756,47091,44121,44040,39810,38429,33069,33154,28730,30754,24715,27085,20750,21487,16708,15917,12907,9443,7548,4634,3192,53109,53382,15917,12907,7548,7633,116,142,53382,57724,49390,52843,44519,48728,39584,44186,34827,39150,29940,33241,26014,29445,22448,25165,17795,20154,13000,16034,7633,10348,3145,5325,57724,70747,52843,63572,48728,58813,44186.0,– 17.6%,39150.0,– 19.9%,33241.0,– 24.8%,29445.0,– 27.8%,25165.0,– 25.6%,20154.0,– 27.3%,16034.0,– 19.7%,10348.0,– 18.1%,5325.0,4960,63572,31143,58813,27077,53630,23376,48868,18931,44200,16096,40801,13681,33830,11181,27729,8642,19966,5379,12630,2652,4960,1329,,,,,,
6,Nissan 370Z,177,260,263,447,211,312,173,224,202,304,271,320,290,410,278,315,254,335,224,441,363,405,343,447,260,389,447,500,312,424,224,324,324,358,5913,7391,5545,6910,5205,6529,4805,5882,4292,5309,3702,4674,2980,4001,2387,3335,1833,2535,1344,1767,768,1008,358,448,7391,7199,1344,1767,1008,941,17,12,7199,6561,6753,6092,6402,5648,5938,5111,5441,4560,4750,3707,4114,3217,3452,2627,2525,1946,1734,1378,941,709,440,331,6561,7338,6092,6932,5648,6482,5111.0,– 16.2%,4560.0,– 19.5%,3707.0,– 27.7%,3217.0,– 28.1%,2627.0,– 30.0%,1946.0,– 31.7%,1378.0,– 33.3%,709.0,– 26.9%,331.0,417,6932,6879,6482,6523,6099,6081,5663,5612,5127,5095,4473,4545,3753,3901,2850,3054,2065,2112,970,1138,417,567,,,,,,
7,BMW 4-Series,1214,2473,1875,3230,2685,2124,2842,1585,1916,3411,2806,2776,3191,3181,3174,3637,1955,3412,2579,2866,3409,4494,2937,3895,2473,3882,3230,3324,2124,2812,1585,1944,1944,1832,35763,46069,32129,40468,28889,37044,26036,33749,23747,31023,21462,28083,19276,24893,16092,18268,12451,14219,9225,10711,4515,5349,,,,,9225,10711,,,222,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Alfa Romeo 4C,27,22,18,22,16,20,7,12,10,26,11,27,34,45,19,23,12,21,18,22,39,23,19,36,22,43,22,71,20,32,12,38,38,68,480,659,457,603,434,569,411,511,375,451,338,354,309,320,273,295,229,255,169,217,116,144,67,97,663,91,169,217,144,—,6,—,91,—,24,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Toyota 4Runner,10055,9970,12510,11761,9984,10120,10335,9669,13309,11954,11494,10103,12624,11153,12133,11333,12862,10358,12444,9874,11569,10423,11739,11014,9970,10428,11761,12045,10120,10912,9669,8699,8699,7496,111970,97034,100463,87081,91835,79498,83298,70902,74240,63396,64049,54585,54468,46202,46058,37994,35706,29445,25571,22013,15972,13365,7496,6945,97034,76906,25571,22013,13365,8620,291,298,76906,51625,68762,46525,61582,41844,55271,37273,49612,34055,41955,29476,35293,25427,29532,21362,21982,16919,15682,13073,8620,8464,3958,4485,51625,48755,46525,43531,41844,39313,37273.0,+ 5.6%,34055.0,+ 9.0%,29476.0,+ 10.4%,25427.0,+ 13.1%,21362.0,+ 17.0%,16919.0,+ 22.3%,13073.0,+ 30.0%,8464.0,+ 41.3%,4485.0,2919,43531,39916,39313,36220,35299,32532,31242,28936,26700,25328,22488,21935,18258,19218,13837,15986,10054,11958,5987,7589,2919,3829,,,,,,
