,Model,2019_04,2019_03,2019_02,2019_01,2018_12,2018_11,2018_10,2018_09,2018_08,2018_07,2018_06,2018_05,2018_04,2018_03,2018_02,2018_01,2017_12,2017_11,2017_10,2017_09,2017_08,2017_07,2017_06,2017_05,2017_04,2017_03,2017_02,2017_01,2016_12,2016_11,2016_10,2016_09,2016_08,2016_07,2016_06,2016_05,2016_04,2016_03,2016_02,2016_01,2015_12,2015_11,2015_10,2015_09,2015_08,2015_07,2015_06,2015_05,2015_04,2015_03,2015_02,2015_01,2014_12,2014_11,2014_10,2014_09,2014_08,2014_07,2014_06,2014_05,2014_04,2014_03,2014_02,2014_01,2013_12,2013_11,2013_10,2013_09,2013_08,2013_07,2013_06,2013_05,2013_04,2013_03,2013_02_YTD,2013_01,2012_12,2012_11,2012_10,2012_09,2012_08,2012_07,2012_06,2012_05,2012_04,2012_03,2012_02_YTD,2012_01,2011_12_error,2011_11,2011_10,2011_09,2011_08,2011_07,2011_06,2011_05,2011_04,2011_03,2011_02,2011_01
0,Fiat 124 Spider,329,214,139,160,184,197,219,286,343,392,401,425,337,325,223,183,287,268,248,343,382,450,510,564,465,419,302,240,250,350,444,490,460,480,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
1,BMW 2-Series,581,746,738,578,718,574,664,630,589,634,930,822,879,1179,949,640,1188,884,1045,938,1036,1331,1242,976,848,993,598,658,1085,955,1009,977,728,1708,2554,1322,1780,1606,1085,710,2143,1147,1258,1078,1024,1028,1067,1119,1009,1249,523,375,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
2,Chrysler 200,3,8,6,12,6,11,26,31,39,36,52,88,95,189,219,251,332,359,499,705,941,1899,1945,2300,2857,2565,2194,1861,2643,2849,2843,3073,4210,695,7817,7600,7591,6176,7112,4685,9663,10103,9066,9863,12538,9566,18560,20007,18850,19190,15805,14157,16229,14317,11675,10995,10810,8159,7345,3140,4204,7531,12046,10912,5652,5621,8348,9583,10139,8122,12360,13278,12492,16593,20292,,9080,7371,8758,9881,11997,9287,10871,13250,13343,14914,16724,,,8065,11205,8709,10861,6509,7219,7151,8274,7725,3694,788
3,Mazda 3,4351,6009,4610,4596,5277,3974,4093,4635,5597,5266,5433,5983,4725,7760,6070,5825,5669,4708,4534,6112,6754,7407,6473,6775,5980,7137,6846,6623,8102,6388,6946,7350,7297,8103,8399,10127,10722,7307,7275,7551,9838,7405,8342,7757,10161,9504,9251,10316,8006,10534,8874,7896,9719,7761,7246,7859,10871,9381,8824,10682,8586,10536,7286,6234,7669,7756,7674,8646,11031,9236,7566,8935,7067,10505,18628,,10297,9841,9518,14031,11120,9027,8835,8474,8508,13235,20475,,,6873,7095,8929,9424,9288,8612,8789,8584,12467,8077,5015
4,BMW 3-Series,3642,4620,2379,1226,3184,3218,3445,3615,3751,3185,3551,3428,3550,4845,4255,4551,5556,6181,4497,6045,5379,4084,5123,4453,3494,6197,4408,4032,6740,5411,5215,7432,5885,6799,6819,7376,4681,6218,4595,3287,5262,8433,11012,9145,10163,7729,6891,8819,6866,9473,10747,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,7731,6206,7653,6740,6321,9003,9897,14801,,,7568,7748,9289,8775,8640,9155,8117,7452,8503,4872,5763
5,Chrysler 300,1998,3704,2508,2078,3483,4569,3986,4022,3013,2813,4318,3484,3913,6223,4449,2320,5726,2951,2917,4207,4073,3090,5355,3907,3948,4969,5386,4708,3584,2566,3051,5611,5275,2400,3669,5598,5570,6474,3778,5665,4269,4635,4311,6741,4339,4015,3965,4042,3801,5359,4356,3192,3992,4871,4935,4757,4887,3926,3566,4653,4795,5367,4488,3145,4881,4115,4542,5036,5909,3796,4280,5011,4120,5686,10348,,7175,4759,5183,4762,4668,3399,6971,6101,7763,7336,12630,,,4066,3701,4445,2835,2415,2500,2539,3263,2727,1323,1329
6,Nissan 370Z,177,263,211,173,202,271,290,278,254,224,363,343,260,447,312,224,304,320,410,315,335,441,405,447,389,500,424,324,368,340,400,513,590,722,593,554,489,576,410,358,481,381,647,573,635,673,666,800,768,759,560,448,446,351,464,497,691,636,662,927,791,793,501,440,469,444,537,551,853,490,590,681,568,669,709,,406,450,383,436,536,654,720,903,785,1095,970,,,356,442,469,517,550,644,847,942,974,571,567
7,BMW 4-Series,1214,1875,2685,2842,1916,2806,3191,3174,1955,2579,3409,2937,2473,3230,2124,1585,3411,2776,3181,3637,3412,2866,4494,3895,3882,3324,2812,1944,3634,3240,2853,2289,2285,2186,3184,3641,3226,4710,2683,1832,5601,3424,3295,2726,2940,3190,6625,4049,3508,5362,5349,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
8,Alfa Romeo 4C,27,18,16,7,10,11,34,19,12,18,39,19,22,22,20,12,26,27,45,23,21,22,23,36,43,71,32,38,23,23,23,36,37,29,36,44,60,53,48,68,56,34,58,60,97,34,25,40,38,73,47,97,67,24,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
9,Toyota 4Runner,10055,12510,9984,10335,13309,11494,12624,12133,12862,12444,11569,11739,9970,11761,10120,9669,11954,10103,11153,11333,10358,9874,10423,11014,10428,12045,10912,8699,11507,8628,8537,9058,10191,9581,8410,10352,10135,9599,8476,7496,9953,7583,8596,7506,8811,8383,8208,8549,7432,8648,6420,6945,8144,7180,6311,5659,7657,6662,5761,7550,6300,7062,4662,3958,5100,4681,4571,3218,4579,4049,4065,4443,3846,4609,8464,,5224,4218,4014,4057,4542,4212,4230,4421,3783,4067,5987,,,3696,3688,3596,3608,3393,2717,3232,4028,4369,3760,3829
